iter   i     a     b      Smsy      Emin
1 20 1.809197 61973.81 23208.05 18566.44
2 20 1.825898 113561.2 42389.68 19050.44
3 20 1.665209 55672.78 21428.52 17142.81
4 20 1.645202 81546.92 31505.78 19050.44
5 20 1.59603 90341.14 35225.62 19050.44
6 20 1.418393 152755.3 61529.82 19050.44
7 20 1.493333 133040.8 52866.13 19050.44
8 20 1.386657 169145 68520.33 19050.44
9 20 1.664379 81784.75 31483.97 19050.44
10 20 1.690484 100917.5 38658.4 19050.44
11 20 2.025227 82431.61 29590.15 19050.44
12 20 1.52188 91241.93 36067.67 19050.44
13 20 1.283568 124345.4 51298.58 19050.44
14 20 1.625488 88148.88 34182.47 19050.44
15 20 1.870245 60400.26 22352.88 17882.3
16 20 1.53622 89678.35 35356.3 19050.44
17 20 1.240735 231941.5 96403.36 19050.44
18 20 1.646021 92581.05 35763.34 19050.44
19 20 2.22624 74637.81 25730.72 19050.44
20 20 2.155754 72681.84 25416.86 19050.44
21 20 1.605251 90088.17 35066.72 19050.44
22 20 1.413166 147496.5 59467.42 19050.44
23 20 1.842798 79477.4 29570.13 19050.44
24 20 1.838599 93033.75 34642.04 19050.44
25 20 1.874975 58518.8 21636.66 17309.33
26 20 1.909645 56857.54 20880.62 16704.5
27 20 1.385348 105664.4 42814.46 19050.44
28 20 1.528463 109042.2 43051.99 19050.44
29 20 2.298939 62541 21242.91 16994.33
30 20 2.166855 55591.87 19396.95 15517.56
31 20 2.033724 66277.32 23751.14 19000.91
32 20 1.492598 118185.6 46969.42 19050.44
33 20 1.908991 55063.38 20224.32 16179.45
34 20 1.526276 133971.9 52915.98 19050.44
35 20 2.087196 56052.72 19873.76 15899.01
36 20 1.431434 91072.69 36598.02 19050.44
37 20 1.545778 110469.9 43476.92 19050.44
38 20 1.337441 69610.61 28446.95 19050.44
39 20 1.612063 83488.33 32456.49 19050.44
40 20 1.698726 58696.02 22449.61 17959.68
41 20 1.439867 141264.8 56681.66 19050.44
42 20 1.21354 149897.8 62596.39 19050.44
43 20 1.589799 90211.3 35215.77 19050.44
44 20 1.937367 59920.96 21886.35 17509.08
45 20 0.984508 253600.2 110051.2 19050.44
46 20 1.296546 114206.8 47008.97 19050.44
47 20 1.745286 79078.05 29978.6 19050.44
48 20 1.234962 118920.4 49477.11 19050.44
49 20 0.9228101 78783991 34532388 19050.44
50 20 1.743207 104791.2 39742.27 19050.44
51 20 1.60917 102349.1 39810.2 19050.44
52 20 1.29466 112618.1 46370.34 19050.44
53 20 1.695486 103939.8 39778.49 19050.44
54 20 1.386396 133870.6 54233.26 19050.44
55 20 1.883403 87533.05 32311.25 19050.44
56 20 1.091341 872020.8 371789.2 19050.44
57 20 1.622765 76274.82 29593 19050.44
58 20 1.69753 57284 21914.51 17531.61
59 20 1.779713 92902.28 34988.07 19050.44
60 20 1.377812 101264.5 41086.88 19050.44
61 20 1.773931 60211.36 22701.46 18161.17
62 20 2.029555 67238.89 24115.72 19050.44
63 20 1.743447 60094.14 22789.76 18231.81
64 20 1.706101 79139.59 30226.43 19050.44
65 20 1.039831 196005.8 84287.62 19050.44
66 20 1.45072 113558.1 45475.17 19050.44
67 20 1.7234 97587.66 37150.2 19050.44
68 20 1.735366 138009.7 52418.76 19050.44
69 20 2.15074 62850.48 22001.08 17600.86
70 20 1.8098 70528.84 26408.68 19050.44
71 20 1.76833 102653.9 38745.12 19050.44
72 20 0.9642112 950722853 413937840 19050.44
73 20 2.233916 54535.41 18771.26 15017.01
74 20 2.038736 54122.47 19375.99 15500.79
75 20 1.53236 106251.2 41920.02 19050.44
76 20 1.120885 137894.7 58500.64 19050.44
77 20 1.32774 216241.7 88520.62 19050.44
78 20 2.378011 66866.93 22346.19 17876.95
79 20 1.977541 65419.35 23706.29 18965.03
80 20 1.962053 73551.27 26734.67 19050.44
81 20 1.57683 87906.09 34398.59 19050.44
82 20 1.45229 72701.51 29105.58 19050.44
83 20 1.900917 57474.52 21143.27 16914.61
84 20 1.433887 80938.81 32511.28 19050.44
85 20 1.420351 73314.05 29520.49 19050.44
86 20 1.740497 125380.9 47575.54 19050.44
87 20 1.645566 61908.23 23916.71 19050.44
88 20 2.27457 55760.73 19034.55 15227.64
89 20 1.570087 107252.7 42021.6 19050.44
90 20 2.120055 77095.19 27154.81 19050.44
91 20 1.82377 69266.79 25866.27 19050.44
92 20 1.49981 92208.4 36597.32 19050.44
93 20 1.655822 85483.59 32960.9 19050.44
94 20 1.336999 315077.7 128769.2 19050.44
95 20 1.545191 112500.8 44280.98 19050.44
96 20 1.446187 121763.6 48801.15 19050.44
97 20 2.04574 59144.97 21144.54 16915.63
98 20 1.17438 158909.4 66806.69 19050.44
99 20 2.111826 52058.13 18366.49 14693.2
100 20 2.003672 64214.64 23149.72 18519.78
101 20 2.310176 58421.94 19798.17 15838.54
102 20 1.507016 73619.54 29180.96 19050.44
103 20 1.365834 97599.89 39684.61 19050.44
104 20 1.725643 51227.77 19493.35 15594.68
105 20 1.500395 106648.9 42324.21 19050.44
106 20 1.578047 84230.82 32952.98 19050.44
107 20 2.021972 65324.05 23464.3 18771.44
108 20 1.385499 96698.56 39180.51 19050.44
109 20 2.103713 60222.16 21281.46 17025.17
110 20 1.800408 51263.04 19229.6 15383.68
111 20 1.778334 71767.83 27035.75 19050.44
112 20 1.888843 76564.81 28232.55 19050.44
113 20 1.364709 103537.4 42107.23 19050.44
114 20 1.685314 71518.88 27423.49 19050.44
115 20 1.473227 143570.7 57259.68 19050.44
116 20 2.081885 65837.9 23367.97 18694.38
117 20 1.956065 70118.92 25517.16 19050.44
118 20 1.763727 59620.4 22522.64 18018.11
119 20 1.629709 68910.08 26700.93 19050.44
120 20 1.640789 101906.3 39404.27 19050.44
121 20 1.134506 10247193739 4337292606 19050.44
122 20 1.68226 65397.82 25090.88 19050.44
123 20 1.319879 105058.4 43066.35 19050.44
124 20 1.153047 169832.1 71658.58 19050.44
125 20 1.74509 88356.4 33497.28 19050.44
126 20 1.597364 117084.3 45641.92 19050.44
127 20 1.989665 54329.56 19640.5 15712.4
128 20 1.560978 64503 25314.89 19050.44
129 20 1.427707 57640.47 23178.68 18542.95
130 20 1.589024 77407.86 30222.04 19050.44
131 20 2.323335 60957.9 20601.88 16481.51
132 20 1.928045 96296.94 35237.25 19050.44
133 20 1.307287 140169.4 57586.77 19050.44
134 20 1.674494 119869.4 46057.19 19050.44
135 20 1.754476 72474.3 27426.92 19050.44
136 20 1.610556 99681.97 38762.75 19050.44
137 20 1.77638 48530.6 18288.88 14631.1
138 20 1.690173 64986.91 24895.97 19050.44
139 20 1.480189 65056.21 25913.24 19050.44
140 20 1.075642 1.066495e+12 455899073578 19050.44
141 20 1.906857 77216.61 28372.85 19050.44
142 20 1.765466 62937.13 23767.68 19014.14
143 20 1.532567 100594.5 39686.72 19050.44
144 20 1.704541 67565.26 25813.38 19050.44
145 20 1.700649 74354.42 28428.15 19050.44
146 20 1.751851 87030.99 32952.22 19050.44
147 20 1.55922 78563.6 30843.14 19050.44
148 20 1.563836 93259.99 36581.54 19050.44
149 20 1.847179 73760.91 27419.97 19050.44
150 20 2.061221 63553.4 22650.51 18120.41
151 20 1.720196 96533.21 36771.18 19050.44
152 20 1.585598 97339.28 38027.98 19050.44
153 20 1.72746 85677.61 32591.03 19050.44
