iter   avgS    lowS%    avgR     lowR      avgC      noC
1 28023.65 0.2616239 28023.65 10383.44 42612.19 0
2 34575.5 0.4084354 34575.5 16210.15 78811.96 0
3 24081.47 0.3560358 24081.47 14130.5 34133.56 0
4 30572.85 0.3641045 30572.85 14450.73 51700.82 0
5 28224.71 0.2675479 28224.71 10618.55 50509.83 0
6 33290.14 0.4751109 33290.14 18856.4 70685.62 0
7 33941.58 0.4279401 33941.58 16984.26 68413.08 0
8 28985.8 0.3921028 28985.8 15561.94 59937.14 0
9 28105.37 0.3414345 28105.37 13550.99 50280.09 0
10 34691.47 0.4308858 34691.47 17101.17 62366.65 0
11 34372.92 0.3959251 34372.92 15713.64 67484.98 0
12 28123.93 0.4742315 28123.93 18821.49 47604.27 0
13 30507.7 0.2775964 30507.7 11017.36 46896.15 0
14 31790.59 0.5128828 31790.59 20355.5 55391.17 0
15 26312.27 0.332731 26312.27 13205.56 46291.58 1
16 30038.12 0.4062409 30038.12 16123.06 51574.71 0
17 32360.43 0.4953376 32360.43 19659.16 60649.61 0
18 28185.23 0.3392334 28185.23 13463.64 54605.65 0
19 33227.09 0.3951835 33227.09 15684.2 72615.12 0
20 34914.84 0.4290231 34914.84 17027.25 67197.95 0
21 33634.33 0.4188553 33634.33 16623.7 56533.6 0
22 29254.16 0.2776428 29254.16 11019.2 55609.62 0
23 32036.26 0.4219809 32036.26 16747.75 60960.38 0
24 32696.53 0.4618172 32696.53 18328.79 69886.82 0
25 27043.8 0.3929395 27043.8 15595.15 42873.17 0
26 28338.18 0.3703797 28338.18 14699.78 41588.44 1
27 28585.91 0.3193648 28585.91 12675.08 47880.02 0
28 31896.25 0.4625225 31896.25 18356.78 60303.96 0
29 32249.86 0.4637536 32249.86 18405.64 61209.7 0
30 26872.76 0.370139 26872.76 14690.23 51743.46 0
31 32936.55 0.4500314 32936.55 17861.03 54128.4 0
32 31252.84 0.3867765 31252.84 15350.55 64712.95 0
33 26698.74 0.3185808 26698.74 12643.97 40576.02 0
34 29788.4 0.4369509 29788.4 17341.89 64740.1 0
35 29305.92 0.3188491 29305.92 12654.61 44540.82 0
36 26642.61 0.3133079 26642.61 12434.69 44358.77 0
37 32071.35 0.3689628 32071.35 14643.55 56127.71 1
38 25314 0.327065 25314 12980.69 35093.88 0
39 27338.69 0.385111 27338.69 15284.44 50502.79 0
40 24657.85 0.3748658 24657.85 14877.83 42332 0
